user_id,subscription_type,monthly_revenue,country,age,gender,device,plan_duration,subscribed_duration,start_month,clv
58,Standard,12,Mexico,34,Male,Smartphone,1 Month,683,8,8196
59,Premium,15,Spain,27,Female,Smart TV,1 Month,468,3,7020
60,Basic,10,Italy,42,Male,Tablet,1 Month,8,6,80
61,Premium,15,United States,28,Female,Laptop,1 Month,-41,8,-615
62,Basic,10,Canada,37,Male,Smartphone,1 Month,477,3,4770
63,Standard,12,United Kingdom,41,Female,Smart TV,1 Month,489,2,5868
64,Standard,12,Australia,29,Male,Tablet,1 Month,371,6,4452
65,Basic,10,Germany,40,Female,Laptop,1 Month,91,3,910
66,Premium,15,France,29,Male,Smartphone,1 Month,513,1,7695
67,Basic,10,Brazil,47,Female,Smart TV,1 Month,280,9,2800
68,Standard,12,Mexico,33,Male,Tablet,1 Month,651,9,7812
69,Premium,15,Spain,36,Female,Laptop,1 Month,182,12,2730
70,Basic,10,Italy,41,Male,Smartphone,1 Month,-44,8,-440
71,Basic,10,United States,27,Male,Smartphone,1 Month,510,1,5100
72,Basic,10,Canada,31,Female,Smartphone,1 Month,224,11,2240
73,Standard,12,United Kingdom,28,Female,Laptop,1 Month,272,9,3264
74,Premium,13,Australia,41,Female,Smartphone,1 Month,193,12,2509
75,Basic,13,Germany,28,Female,Laptop,1 Month,394,5,5122
76,Basic,13,France,51,Female,Laptop,1 Month,544,12,7072
77,Premium,15,Brazil,45,Female,Smartphone,1 Month,180,12,2700
78,Standard,15,Mexico,49,Male,Tablet,1 Month,222,11,3330
79,Standard,15,Spain,43,Female,Laptop,1 Month,470,3,7050
80,Basic,12,Italy,43,Male,Tablet,1 Month,315,8,3780
81,Premium,10,United States,37,Male,Tablet,1 Month,-130,11,-1300
82,Standard,12,Canada,35,Male,Laptop,1 Month,351,7,4212
83,Basic,10,United Kingdom,46,Female,Smartphone,1 Month,249,10,2490
84,Standard,12,Australia,32,Male,Smartphone,1 Month,73,4,876
85,Premium,10,Germany,37,Female,Laptop,1 Month,23,6,230
86,Basic,11,France,29,Female,Smartphone,1 Month,448,4,4928
87,Premium,15,Brazil,45,Male,Smart TV,1 Month,542,12,8130
88,Standard,12,Mexico,47,Male,Tablet,1 Month,274,9,3288
89,Basic,15,Spain,39,Male,Smartphone,1 Month,249,10,3735
90,Standard,13,Italy,49,Female,Smartphone,1 Month,113,3,1469
91,Premium,11,United States,39,Male,Tablet,1 Month,470,3,5170
92,Basic,14,Canada,39,Male,Smart TV,1 Month,423,5,5922
93,Standard,12,United Kingdom,35,Male,Smartphone,1 Month,420,5,5040
94,Premium,12,Australia,44,Male,Smartphone,1 Month,463,3,5556
95,Basic,11,Germany,34,Male,Laptop,1 Month,482,2,5302
96,Premium,14,France,32,Male,Laptop,1 Month,333,7,4662
97,Basic,10,Brazil,29,Female,Tablet,1 Month,417,5,4170
98,Standard,13,Mexico,31,Female,Tablet,1 Month,360,7,4680
99,Standard,12,Spain,29,Female,Tablet,1 Month,162,1,1944
100,Basic,12,Italy,35,Male,Laptop,1 Month,154,1,1848
101,Premium,11,United States,46,Female,Tablet,1 Month,250,10,2750
102,Basic,12,Canada,31,Male,Tablet,1 Month,456,3,5472
103,Standard,13,United Kingdom,36,Male,Laptop,1 Month,448,4,5824
104,Premium,10,Australia,38,Male,Laptop,1 Month,323,8,3230
105,Basic,11,Germany,46,Female,Laptop,1 Month,450,4,4950
106,Premium,10,France,49,Female,Tablet,1 Month,463,3,4630
107,Basic,14,Brazil,29,Female,Smart TV,1 Month,356,7,4984
108,Standard,12,Mexico,27,Female,Smart TV,1 Month,397,5,4764
109,Standard,13,Spain,35,Female,Tablet,1 Month,-38,8,-494
110,Basic,13,Italy,37,Female,Laptop,1 Month,149,1,1937
111,Premium,14,United States,40,Male,Tablet,1 Month,348,7,4872
112,Basic,10,Canada,33,Female,Laptop,1 Month,538,1,5380
113,Standard,15,United Kingdom,37,Male,Tablet,1 Month,356,7,5340
114,Premium,10,Australia,48,Male,Smartphone,1 Month,219,11,2190
115,Basic,11,Germany,50,Female,Laptop,1 Month,417,5,4587
116,Premium,14,France,45,Female,Smart TV,1 Month,400,5,5600
117,Basic,15,Brazil,40,Female,Tablet,1 Month,601,10,9015
118,Standard,12,Mexico,33,Male,Smartphone,1 Month,354,7,4248
119,Standard,11,Spain,44,Female,Smartphone,1 Month,278,9,3058
120,Basic,10,Italy,30,Female,Smart TV,1 Month,250,10,2500
121,Premium,15,United States,27,Male,Smart TV,1 Month,471,3,7065
122,Basic,11,Canada,51,Male,Smart TV,1 Month,480,3,5280
123,Standard,13,United Kingdom,49,Female,Smartphone,1 Month,397,5,5161
124,Premium,15,Australia,43,Male,Laptop,1 Month,410,5,6150
125,Basic,12,Germany,42,Male,Smartphone,1 Month,307,8,3684
126,Premium,13,France,45,Male,Laptop,1 Month,275,9,3575
127,Basic,10,Brazil,36,Male,Smartphone,1 Month,577,11,5770
128,Standard,12,Mexico,48,Male,Smartphone,1 Month,382,6,4584
129,Standard,13,Spain,38,Male,Smart TV,1 Month,408,5,5304
130,Basic,14,Italy,43,Female,Tablet,1 Month,-8,7,-112
131,Premium,15,United States,47,Male,Laptop,1 Month,378,6,5670
132,Basic,15,Canada,48,Female,Smart TV,1 Month,369,6,5535
133,Standard,13,United Kingdom,47,Male,Smart TV,1 Month,367,6,4771
134,Premium,15,Australia,32,Male,Tablet,1 Month,410,5,6150
135,Basic,13,Germany,47,Female,Smart TV,1 Month,343,7,4459
136,Premium,12,France,41,Female,Smart TV,1 Month,286,9,3432
137,Basic,12,Brazil,49,Male,Laptop,1 Month,257,10,3084
138,Standard,15,Mexico,28,Male,Laptop,1 Month,275,9,4125
139,Standard,13,Spain,40,Male,Smartphone,1 Month,91,3,1183
140,Basic,12,Italy,43,Female,Smartphone,1 Month,503,2,6036
141,Premium,12,United States,42,Male,Smartphone,1 Month,234,11,2808
142,Basic,14,Canada,28,Male,Smart TV,1 Month,259,10,3626
143,Standard,14,United Kingdom,30,Female,Tablet,1 Month,297,8,4158
144,Premium,10,Australia,33,Male,Smart TV,1 Month,313,8,3130
145,Basic,11,Germany,35,Female,Laptop,1 Month,417,5,4587
146,Basic,10,France,38,Male,Tablet,1 Month,380,6,3800
147,Basic,12,Brazil,49,Female,Laptop,1 Month,317,8,3804
148,Standard,15,Mexico,39,Female,Smartphone,1 Month,213,11,3195
149,Premium,13,Spain,46,Female,Smart TV,1 Month,222,11,2886
150,Basic,10,Italy,47,Female,Laptop,1 Month,190,12,1900
151,Basic,15,United States,30,Female,Laptop,1 Month,195,12,2925
152,Premium,14,Canada,33,Female,Tablet,1 Month,216,11,3024
153,Standard,11,United Kingdom,47,Male,Smartphone,1 Month,181,12,1991
154,Standard,11,Australia,27,Male,Laptop,1 Month,-129,11,-1419
155,Basic,14,Germany,28,Male,Tablet,1 Month,221,11,3094
156,Premium,15,France,47,Male,Smartphone,1 Month,310,8,4650
157,Standard,14,Brazil,30,Male,Laptop,1 Month,270,9,3780
158,Basic,13,Mexico,47,Female,Smartphone,1 Month,252,10,3276
159,Standard,10,Spain,51,Female,Smart TV,1 Month,187,12,1870
160,Premium,15,Italy,39,Male,Smartphone,1 Month,241,10,3615
161,Basic,10,United States,45,Male,Tablet,1 Month,244,10,2440
162,Premium,15,Canada,31,Male,Laptop,1 Month,432,4,6480
163,Standard,11,United Kingdom,29,Male,Laptop,1 Month,418,5,4598
164,Basic,11,Australia,42,Female,Tablet,1 Month,235,11,2585
165,Standard,14,Germany,49,Male,Tablet,1 Month,396,5,5544
166,Premium,13,France,42,Male,Laptop,1 Month,436,4,5668
167,Basic,13,Brazil,29,Male,Smartphone,1 Month,355,7,4615
168,Standard,10,Mexico,29,Male,Tablet,1 Month,228,11,2280
169,Premium,12,Spain,49,Male,Tablet,1 Month,157,1,1884
170,Basic,14,Italy,32,Male,Laptop,1 Month,-159,12,-2226
171,Premium,11,United States,35,Female,Tablet,1 Month,421,4,4631
172,Basic,12,Canada,39,Female,Smartphone,1 Month,425,4,5100
173,Standard,15,United Kingdom,40,Male,Smartphone,1 Month,476,3,7140
174,Standard,14,Australia,39,Female,Tablet,1 Month,428,4,5992
175,Basic,10,Germany,47,Female,Laptop,1 Month,430,4,4300
176,Premium,13,France,37,Female,Smart TV,1 Month,203,12,2639
177,Basic,15,Brazil,27,Female,Smartphone,1 Month,399,5,5985
178,Standard,13,Mexico,49,Female,Laptop,1 Month,250,10,3250
179,Premium,10,Spain,30,Female,Tablet,1 Month,471,3,4710
180,Basic,14,Italy,36,Male,Laptop,1 Month,272,9,3808
181,Premium,15,United States,33,Male,Smartphone,1 Month,376,6,5640
182,Basic,13,Canada,30,Female,Laptop,1 Month,405,5,5265
183,Standard,15,United Kingdom,36,Female,Tablet,1 Month,396,5,5940
184,Standard,13,Australia,28,Female,Laptop,1 Month,425,4,5525
185,Basic,11,Germany,47,Female,Tablet,1 Month,202,12,2222
186,Premium,12,France,33,Female,Smart TV,1 Month,538,1,6456
187,Basic,13,Brazil,49,Female,Laptop,1 Month,260,10,3380
188,Standard,15,Mexico,44,Female,Smart TV,1 Month,346,7,5190
189,Premium,13,Spain,47,Male,Smart TV,1 Month,502,2,6526
190,Basic,11,Italy,37,Female,Tablet,1 Month,281,9,3091
191,Premium,10,United States,46,Male,Laptop,1 Month,322,8,3220
192,Basic,14,Canada,50,Female,Smartphone,1 Month,366,6,5124
193,Standard,11,United Kingdom,50,Male,Laptop,1 Month,413,5,4543
194,Standard,14,Australia,37,Male,Laptop,1 Month,312,8,4368
195,Basic,11,Germany,50,Female,Smartphone,1 Month,302,8,3322
196,Premium,13,France,45,Female,Smart TV,1 Month,291,9,3783
197,Basic,14,Brazil,45,Male,Tablet,1 Month,269,9,3766
198,Standard,10,Mexico,49,Female,Laptop,1 Month,252,10,2520
199,Premium,14,Spain,39,Female,Tablet,1 Month,237,10,3318
200,Basic,11,Italy,45,Female,Tablet,1 Month,255,10,2805
201,Premium,11,United States,49,Female,Smart TV,1 Month,446,4,4906
202,Basic,12,Canada,31,Female,Tablet,1 Month,366,6,4392
203,Standard,13,United Kingdom,42,Female,Smart TV,1 Month,328,7,4264
204,Standard,12,Australia,37,Male,Smartphone,1 Month,332,7,3984
205,Basic,12,Germany,30,Male,Smart TV,1 Month,330,7,3960
206,Premium,11,France,40,Male,Smartphone,1 Month,382,6,4202
207,Basic,15,Brazil,45,Female,Smartphone,1 Month,281,9,4215
208,Standard,15,Mexico,36,Female,Tablet,1 Month,53,5,795
209,Premium,11,Spain,41,Male,Laptop,1 Month,255,10,2805
210,Basic,14,Italy,49,Female,Laptop,1 Month,216,11,3024
211,Premium,15,United States,40,Male,Tablet,1 Month,224,11,3360
212,Basic,11,Canada,36,Male,Smart TV,1 Month,241,10,2651
213,Standard,12,United Kingdom,49,Female,Smart TV,1 Month,319,8,3828
214,Standard,13,Australia,43,Female,Laptop,1 Month,363,6,4719
215,Basic,13,Germany,50,Female,Smartphone,1 Month,503,2,6539
216,Premium,14,France,51,Female,Smart TV,1 Month,318,8,4452
217,Basic,15,Brazil,44,Male,Smart TV,1 Month,224,11,3360
218,Standard,12,Mexico,27,Male,Tablet,1 Month,225,11,2700
219,Premium,12,Spain,46,Female,Smartphone,1 Month,221,11,2652
220,Basic,12,Italy,29,Male,Tablet,1 Month,213,11,2556
221,Basic,12,United States,47,Male,Smartphone,1 Month,211,11,2532
222,Basic,10,Canada,48,Female,Smartphone,1 Month,196,12,1960
223,Standard,12,United Kingdom,34,Female,Smartphone,1 Month,-37,8,-444
224,Premium,15,Australia,40,Female,Smartphone,1 Month,214,11,3210
225,Basic,14,Germany,48,Female,Smartphone,1 Month,229,11,3206
226,Basic,10,France,35,Male,Smartphone,1 Month,272,9,2720
227,Premium,12,Brazil,51,Female,Smartphone,1 Month,267,9,3204
228,Standard,10,Mexico,39,Male,Smart TV,1 Month,442,4,4420
229,Standard,13,Spain,29,Male,Smartphone,1 Month,442,4,5746
230,Basic,12,Italy,51,Male,Laptop,1 Month,239,10,2868
231,Premium,11,United States,43,Male,Smartphone,1 Month,238,10,2618
232,Standard,11,Canada,28,Male,Smartphone,1 Month,301,8,3311
233,Basic,15,United Kingdom,50,Female,Smart TV,1 Month,354,7,5310
234,Standard,14,Australia,44,Female,Laptop,1 Month,397,5,5558
235,Premium,11,Germany,50,Male,Laptop,1 Month,404,5,4444
236,Basic,11,France,39,Female,Smartphone,1 Month,325,8,3575
237,Premium,13,Brazil,46,Female,Tablet,1 Month,353,7,4589
238,Standard,15,Mexico,48,Male,Smartphone,1 Month,346,7,5190
239,Basic,15,Spain,38,Male,Smart TV,1 Month,185,12,2775
240,Standard,13,Italy,38,Male,Smartphone,1 Month,364,6,4732
241,Premium,13,United States,47,Male,Laptop,1 Month,392,5,5096
242,Basic,12,Canada,37,Male,Laptop,1 Month,505,2,6060
243,Standard,11,United Kingdom,33,Male,Laptop,1 Month,398,5,4378
244,Premium,15,Australia,28,Male,Smartphone,1 Month,426,4,6390
245,Basic,13,Germany,47,Male,Smart TV,1 Month,432,4,5616
246,Premium,11,France,38,Female,Smartphone,1 Month,477,3,5247
247,Basic,12,Brazil,27,Male,Smart TV,1 Month,355,7,4260
248,Standard,13,Mexico,34,Male,Smartphone,1 Month,284,9,3692
249,Standard,14,Spain,42,Female,Smartphone,1 Month,284,9,3976
250,Basic,14,Italy,28,Male,Laptop,1 Month,291,9,4074
251,Premium,15,United States,30,Male,Laptop,1 Month,367,6,5505
252,Basic,11,Canada,38,Female,Smartphone,1 Month,392,5,4312
253,Standard,15,United Kingdom,45,Female,Tablet,1 Month,400,5,6000
254,Premium,12,Australia,48,Female,Smart TV,1 Month,403,5,4836
255,Basic,13,Germany,46,Female,Smart TV,1 Month,402,5,5226
256,Premium,12,France,34,Male,Tablet,1 Month,392,5,4704
257,Basic,13,Brazil,46,Male,Laptop,1 Month,373,6,4849
258,Standard,11,Mexico,41,Female,Smartphone,1 Month,347,7,3817
259,Standard,15,Spain,28,Male,Smartphone,1 Month,414,5,6210
260,Basic,10,Italy,27,Female,Smartphone,1 Month,344,7,3440
261,Premium,13,United States,27,Female,Smart TV,1 Month,444,4,5772
262,Basic,12,Canada,28,Female,Tablet,1 Month,348,7,4176
263,Standard,15,United Kingdom,46,Male,Smartphone,1 Month,334,7,5010
264,Premium,10,Australia,51,Male,Smartphone,1 Month,292,9,2920
265,Basic,11,Germany,32,Female,Smart TV,1 Month,413,5,4543
266,Premium,10,France,44,Male,Tablet,1 Month,313,8,3130
267,Basic,11,Brazil,44,Female,Laptop,1 Month,322,8,3542
268,Standard,13,Mexico,34,Female,Smart TV,1 Month,255,10,3315
269,Standard,13,Spain,29,Female,Laptop,1 Month,253,10,3289
270,Basic,12,Italy,47,Male,Smart TV,1 Month,442,4,5304
271,Premium,14,United States,41,Male,Laptop,1 Month,310,8,4340
272,Basic,10,Canada,36,Female,Smartphone,1 Month,261,10,2610
273,Standard,12,United Kingdom,28,Female,Laptop,1 Month,502,2,6024
274,Premium,10,Australia,27,Female,Tablet,1 Month,532,1,5320
275,Basic,15,Germany,34,Female,Laptop,1 Month,382,6,5730
276,Premium,14,France,34,Female,Smart TV,1 Month,290,9,4060
277,Basic,13,Brazil,37,Female,Tablet,1 Month,199,12,2587
278,Standard,14,Mexico,34,Female,Laptop,1 Month,272,9,3808
279,Standard,15,Spain,50,Female,Laptop,1 Month,195,12,2925
280,Basic,12,Italy,34,Female,Laptop,1 Month,226,11,2712
281,Premium,12,United States,33,Female,Smart TV,1 Month,502,2,6024
282,Basic,11,Canada,33,Male,Smart TV,1 Month,238,10,2618
283,Standard,15,United Kingdom,46,Male,Smartphone,1 Month,361,6,5415
284,Premium,14,Australia,39,Female,Smartphone,1 Month,446,4,6244
285,Basic,10,Germany,42,Female,Laptop,1 Month,534,1,5340
286,Premium,14,France,50,Female,Laptop,1 Month,256,10,3584
287,Basic,10,Brazil,43,Male,Smartphone,1 Month,253,10,2530
288,Standard,14,Mexico,51,Male,Smart TV,1 Month,251,10,3514
289,Standard,15,Spain,34,Female,Smart TV,1 Month,217,11,3255
290,Basic,12,Italy,48,Male,Smartphone,1 Month,217,11,2604
291,Premium,13,United States,29,Female,Tablet,1 Month,441,4,5733
292,Basic,11,Canada,43,Female,Laptop,1 Month,197,12,2167
293,Standard,14,United Kingdom,39,Female,Laptop,1 Month,286,9,4004
294,Premium,10,Australia,50,Male,Laptop,1 Month,257,10,2570
295,Basic,14,Germany,45,Male,Laptop,1 Month,474,3,6636
296,Basic,12,France,48,Female,Tablet,1 Month,533,1,6396
297,Basic,13,Brazil,40,Male,Smartphone,1 Month,498,2,6474
298,Standard,14,Mexico,41,Male,Tablet,1 Month,473,3,6622
299,Premium,10,Spain,27,Male,Smartphone,1 Month,240,10,2400
300,Basic,11,Italy,36,Male,Laptop,1 Month,241,10,2651
301,Basic,10,United States,36,Female,Laptop,1 Month,270,9,2700
302,Premium,11,Canada,44,Male,Tablet,1 Month,286,9,3146
303,Standard,12,United Kingdom,45,Male,Tablet,1 Month,232,11,2784
304,Standard,12,Australia,33,Female,Smartphone,1 Month,235,11,2820
305,Basic,13,Germany,47,Male,Smart TV,1 Month,398,5,5174
306,Premium,13,France,45,Male,Tablet,1 Month,385,6,5005
307,Standard,11,Brazil,29,Female,Smart TV,1 Month,325,8,3575
308,Basic,13,Mexico,31,Male,Smart TV,1 Month,243,10,3159
309,Standard,11,Spain,31,Male,Smartphone,1 Month,293,9,3223
310,Premium,15,Italy,49,Female,Smartphone,1 Month,377,6,5655
311,Basic,15,United States,29,Female,Smartphone,1 Month,356,7,5340
312,Premium,12,Canada,50,Male,Laptop,1 Month,395,5,4740
313,Standard,13,United Kingdom,36,Female,Laptop,1 Month,396,5,5148
314,Basic,10,Australia,28,Male,Laptop,1 Month,431,4,4310
315,Standard,15,Germany,47,Female,Smart TV,1 Month,425,4,6375
316,Premium,12,France,50,Female,Laptop,1 Month,394,5,4728
317,Basic,15,Brazil,44,Female,Tablet,1 Month,307,8,4605
318,Standard,10,Mexico,39,Female,Laptop,1 Month,503,2,5030
319,Premium,14,Spain,32,Female,Smartphone,1 Month,308,8,4312
320,Basic,15,Italy,30,Female,Laptop,1 Month,504,2,7560
321,Premium,12,United States,33,Female,Smartphone,1 Month,370,6,4440
322,Basic,15,Canada,44,Male,Smartphone,1 Month,447,4,6705
323,Standard,14,United Kingdom,40,Male,Smartphone,1 Month,391,5,5474
324,Standard,15,Australia,32,Male,Tablet,1 Month,401,5,6015
325,Basic,13,Germany,32,Male,Tablet,1 Month,394,5,5122
326,Premium,11,France,30,Male,Smartphone,1 Month,233,11,2563
327,Basic,12,Brazil,32,Female,Smartphone,1 Month,384,6,4608
328,Standard,12,Mexico,45,Female,Tablet,1 Month,336,7,4032
329,Premium,11,Spain,35,Female,Smart TV,1 Month,338,7,3718
330,Basic,10,Italy,40,Female,Smart TV,1 Month,384,6,3840
331,Premium,14,United States,29,Female,Tablet,1 Month,323,8,4522
332,Basic,14,Canada,31,Male,Tablet,1 Month,339,7,4746
333,Standard,15,United Kingdom,43,Female,Smart TV,1 Month,338,7,5070
334,Standard,11,Australia,34,Male,Smart TV,1 Month,335,7,3685
335,Basic,10,Germany,47,Female,Tablet,1 Month,229,11,2290
336,Premium,12,France,35,Male,Laptop,1 Month,502,2,6024
337,Basic,13,Brazil,36,Male,Laptop,1 Month,229,11,2977
338,Standard,12,Mexico,33,Male,Tablet,1 Month,255,10,3060
339,Premium,13,Spain,30,Female,Laptop,1 Month,411,5,5343
340,Basic,14,Italy,44,Female,Smartphone,1 Month,285,9,3990
341,Premium,13,United States,44,Female,Laptop,1 Month,306,8,3978
342,Basic,11,Canada,41,Female,Laptop,1 Month,291,9,3201
343,Standard,13,United Kingdom,46,Male,Smart TV,1 Month,382,6,4966
344,Standard,13,Australia,42,Female,Smartphone,1 Month,353,7,4589
345,Basic,10,Germany,48,Female,Smart TV,1 Month,321,8,3210
346,Premium,15,France,37,Male,Tablet,1 Month,299,8,4485
347,Basic,14,Brazil,29,Male,Smartphone,1 Month,280,9,3920
348,Standard,14,Mexico,30,Male,Smart TV,1 Month,412,5,5768
349,Premium,14,Spain,28,Male,Smartphone,1 Month,500,2,7000
350,Basic,10,Italy,44,Female,Smartphone,1 Month,502,2,5020
351,Premium,11,United States,34,Female,Smart TV,1 Month,502,2,5522
352,Basic,10,Canada,38,Male,Laptop,1 Month,279,9,2790
353,Standard,14,United Kingdom,34,Female,Smartphone,1 Month,261,10,3654
354,Standard,10,Australia,40,Female,Laptop,1 Month,316,8,3160
355,Basic,15,Germany,32,Female,Tablet,1 Month,199,12,2985
356,Premium,11,France,38,Male,Smart TV,1 Month,259,10,2849
357,Basic,15,Brazil,39,Male,Smartphone,1 Month,251,10,3765
358,Standard,12,Mexico,34,Female,Smart TV,1 Month,229,11,2748
359,Premium,11,Spain,41,Male,Smartphone,1 Month,218,11,2398
360,Basic,15,Italy,43,Female,Tablet,1 Month,221,11,3315
361,Premium,12,United States,36,Female,Laptop,1 Month,215,11,2580
362,Basic,11,Canada,31,Male,Laptop,1 Month,319,8,3509
363,Standard,12,United Kingdom,47,Female,Smart TV,1 Month,530,1,6360
364,Standard,14,Australia,48,Male,Smart TV,1 Month,201,12,2814
365,Basic,11,Germany,36,Male,Laptop,1 Month,257,10,2827
366,Premium,12,France,41,Male,Smart TV,1 Month,255,10,3060
367,Basic,13,Brazil,32,Male,Laptop,1 Month,245,10,3185
368,Standard,13,Mexico,28,Male,Smartphone,1 Month,247,10,3211
369,Premium,12,Spain,46,Female,Smartphone,1 Month,245,10,2940
370,Basic,11,Italy,46,Female,Smartphone,1 Month,250,10,2750
371,Basic,11,United States,47,Male,Tablet,1 Month,268,9,2948
372,Basic,11,Canada,31,Female,Tablet,1 Month,383,6,4213
373,Standard,10,United Kingdom,44,Female,Tablet,1 Month,373,6,3730
374,Premium,10,Australia,39,Female,Laptop,1 Month,204,12,2040
375,Basic,14,Germany,44,Female,Laptop,1 Month,376,6,5264
376,Basic,12,France,39,Female,Smartphone,1 Month,372,6,4464
377,Premium,12,Brazil,37,Male,Laptop,1 Month,305,8,3660
378,Standard,14,Mexico,47,Female,Laptop,1 Month,318,8,4452
379,Standard,10,Spain,46,Female,Smart TV,1 Month,202,12,2020
380,Basic,15,Italy,27,Female,Smart TV,1 Month,415,5,6225
381,Premium,10,United States,43,Female,Laptop,1 Month,348,7,3480
382,Standard,10,Canada,51,Male,Smart TV,1 Month,355,7,3550
383,Basic,10,United Kingdom,49,Male,Smart TV,1 Month,537,1,5370
384,Standard,10,Australia,35,Female,Smartphone,1 Month,405,5,4050
385,Premium,15,Germany,44,Male,Smartphone,1 Month,401,5,6015
386,Basic,14,France,48,Male,Tablet,1 Month,231,11,3234
387,Premium,11,Brazil,39,Female,Tablet,1 Month,344,7,3784
388,Standard,12,Mexico,38,Male,Laptop,1 Month,342,7,4104
389,Basic,14,Spain,45,Male,Smart TV,1 Month,503,2,7042
390,Standard,13,Italy,43,Female,Laptop,1 Month,478,3,6214
391,Premium,13,United States,42,Male,Laptop,1 Month,369,6,4797
392,Basic,15,Canada,28,Male,Smart TV,1 Month,479,3,7185
393,Standard,10,United Kingdom,40,Male,Tablet,1 Month,477,3,4770
394,Premium,14,Australia,41,Female,Tablet,1 Month,393,5,5502
395,Basic,12,Germany,45,Female,Laptop,1 Month,416,5,4992
396,Premium,14,France,30,Female,Smartphone,1 Month,264,10,3696
397,Basic,11,Brazil,31,Female,Smartphone,1 Month,347,7,3817
398,Standard,13,Mexico,51,Female,Tablet,1 Month,347,7,4511
399,Standard,12,Spain,44,Female,Smartphone,1 Month,346,7,4152
400,Basic,14,Italy,49,Male,Laptop,1 Month,349,7,4886
